duration_ms,Spotify Popularity
216000.0,66.0
312000.0,77.0
109000.0,71.0
218000.0,75.0
160000.0,81.0
212000.0,75.0
122000.0,0.0
190000.0,67.0
193000.0,75.0
265000.0,69.0
214000.0,78.0
166000.0,74.0
250000.0,70.0
163000.0,69.0
168000.0,69.0
221000.0,0.0
179000.0,79.0
232000.0,69.0
195000.0,72.0
261000.0,69.0
221000.0,70.0
187000.0,72.0
212000.0,75.0
177000.0,62.0
177000.0,74.0
149000.0,74.0
188000.0,75.0
214000.0,65.0
185000.0,70.0
171000.0,71.0
198000.0,75.0
295000.0,77.0
156000.0,65.0
165000.0,0.0
165000.0,0.0
156000.0,77.0
139000.0,48.0
229000.0,79.0
185000.0,84.0
200000.0,63.0
191000.0,75.0
201000.0,59.0
157000.0,70.0
192000.0,75.0
244000.0,0.0
122000.0,63.0
155000.0,79.0
249000.0,0.0
179000.0,80.0
226000.0,75.0
199000.0,53.0
271000.0,76.0
226000.0,71.0
203000.0,64.0
279000.0,61.0
282000.0,7.0
242000.0,77.0
235000.0,66.0
310000.0,0.0
173000.0,67.0
210000.0,71.0
209000.0,0.0
206000.0,69.0
209000.0,80.0
126000.0,61.0
291000.0,75.0
202000.0,66.0
168000.0,75.0
268000.0,0.0
267000.0,68.0
221000.0,70.0
160000.0,52.0
181000.0,72.0
174000.0,70.0
232000.0,68.0
187000.0,0.0
112000.0,76.0
237000.0,0.0
163000.0,52.0
145000.0,0.0
175000.0,68.0
223000.0,73.0
260000.0,70.0
187000.0,68.0
122000.0,70.0
158000.0,16.0
229000.0,72.0
219000.0,70.0
182000.0,72.0
129000.0,36.0
172000.0,54.0
181000.0,77.0
222000.0,70.0
335000.0,76.0
142000.0,76.0
197000.0,71.0
